amount,account_age_days,previous_orders,failed_payments,new_device,transactions_last_hour,location_changed,delivery_completed,chargeback
402.41,287,3,3,0,0,0,1,0
1076.52,123,5,0,0,1,0,1,0
821.67,179,4,4,0,1,0,1,0
1514.32,72,3,2,0,2,0,1,0
479.51,145,3,0,0,3,0,0,0
1843.36,53,4,0,1,0,0,1,0
5078.34,66,5,0,0,1,1,1,0
983.62,190,3,0,1,4,0,1,0
1638.79,29,4,1,0,1,0,1,0
2186.69,172,2,0,0,4,0,0,0
734.2,344,2,3,1,3,0,1,0
1372.09,23,2,3,0,3,0,1,0
1110.53,409,4,0,0,0,0,1,0
1209.15,14,1,3,0,3,1,1,0
506.23,77,6,1,0,2,0,1,0
1123.84,169,9,0,0,2,0,1,0
1804.43,147,7,2,0,0,0,1,0
4680.42,18,7,2,0,1,0,1,0
2861.99,288,3,2,0,4,0,1,0
9444.45,651,6,0,0,4,0,1,0
509.1,35,4,0,0,5,1,1,0
2623.65,405,9,0,0,2,0,1,0
1317.3,146,7,4,1,2,0,1,0
9796.72,494,5,0,0,0,1,1,0
488.68,34,2,2,0,5,0,1,0
473.56,282,4,2,0,3,0,1,0
602.21,11,4,0,0,1,0,1,0
131.12,386,1,0,1,1,0,1,0
648.23,201,10,1,0,6,0,1,0
513.3,83,5,1,1,4,0,1,0
1274.61,38,7,2,0,2,0,1,0
1543.42,305,4,2,1,2,0,1,0
7159.32,166,6,0,0,2,1,1,0
2836.78,80,2,1,0,1,1,1,0
615.91,105,8,1,0,1,0,1,0
446.57,315,4,1,0,2,0,1,0
1793.49,74,3,1,0,0,0,1,0
292.88,16,4,2,1,3,1,1,0
6846.27,436,5,0,0,0,0,1,0
3566.86,88,3,1,0,2,0,0,0
685.96,77,4,1,0,1,0,1,0
197.72,41,3,2,0,0,1,1,0
4246.59,409,3,1,0,6,1,1,0
977.95,44,7,1,0,4,0,0,0
3781.27,182,5,1,1,2,0,1,0
222.64,382,6,1,0,3,0,1,0
602.22,6,9,1,0,3,0,1,0
1102.4,317,7,2,0,4,0,1,0
1149.38,95,6,2,0,3,0,1,0
699.2,193,8,1,0,1,0,1,0
2044.38,83,3,0,0,1,0,1,0
377.05,214,7,1,0,4,0,1,0
951.1,52,5,2,0,1,0,1,0
1236.82,3,10,2,0,1,0,0,0
1834.34,531,5,2,0,2,0,1,0
2234.15,2,8,2,0,3,0,1,0
356.15,312,11,0,0,4,0,1,0
236.49,33,4,2,0,3,0,1,0
3935.04,89,4,1,1,2,0,0,0
1528.92,311,5,2,0,1,1,1,0
518.8,41,4,1,0,2,0,1,0
5172.71,361,5,0,0,1,0,1,0
1231.11,123,5,3,0,3,1,1,0
3566.35,82,12,1,0,2,0,1,0
1173.23,195,4,0,1,2,1,0,1
8610.59,75,1,0,1,3,0,0,0
6344.48,76,7,1,0,1,0,1,0
854.94,238,5,3,1,3,0,1,0
2897.41,66,3,0,1,1,0,1,0
2090.95,40,3,0,0,4,0,1,0
4309.73,296,3,1,0,1,0,1,0
417.83,294,6,1,1,0,0,1,0
2177.76,123,7,0,0,2,0,1,0
3160.31,134,6,1,0,3,0,1,0
188.91,214,8,4,0,4,0,1,0
335.88,128,7,1,0,2,1,1,0
142.7,97,4,0,0,4,1,1,0
837.64,949,4,1,1,0,0,1,0
2247.43,28,5,1,0,1,0,1,0
4926.37,161,3,1,0,5,0,1,0
1180.97,390,4,2,0,2,0,1,0
5589.33,209,2,0,0,4,1,1,0
275.86,383,4,1,0,4,1,0,0
199.66,73,4,0,0,1,0,1,0
1037.38,57,6,1,0,2,0,1,0
1610.12,343,12,0,0,1,0,1,0
1061.36,90,4,3,1,2,0,1,0
138.73,222,1,1,0,2,1,1,0
1003.13,28,2,0,0,0,0,1,0
297.53,253,7,2,0,1,0,1,0
2142.38,143,3,1,0,5,0,1,0
1582.24,56,6,1,1,4,0,1,0
428.43,122,4,1,1,1,0,1,0
655.98,214,2,1,1,0,0,0,0
380.23,2,6,0,0,4,0,0,0
1030.01,182,7,1,0,3,0,1,0
2850.19,140,3,0,1,0,0,1,0
409.23,44,5,1,0,3,1,1,1
1815.37,251,6,0,0,3,1,1,0
645.32,65,9,0,1,3,0,1,0
496.27,58,6,2,0,2,0,1,0
985.32,114,6,0,0,3,0,1,0
389.46,202,3,0,1,1,0,1,0
630.4,475,4,0,0,2,0,1,0
331.0,27,6,1,0,4,1,1,0
7822.23,90,3,1,0,6,0,1,0
1135.99,12,4,1,0,1,0,1,0
544.72,255,5,0,0,2,0,1,0
1358.29,106,7,2,0,1,0,1,0
980.12,220,6,2,0,2,1,1,0
879.22,70,8,1,1,2,0,0,0
2026.71,334,5,0,0,3,0,1,0
2339.07,137,3,2,0,1,1,1,0
645.16,517,5,2,1,0,0,0,0
616.58,14,3,1,0,1,0,1,0
832.93,129,4,1,0,3,0,0,0
109.74,261,1,1,0,1,1,1,0
241.0,165,3,2,0,0,0,1,0
4302.17,4,2,1,0,1,0,1,0
5681.48,645,4,0,0,5,1,1,0
854.88,63,4,1,0,0,0,1,0
1951.9,51,3,1,0,1,0,1,0
1497.05,119,1,1,0,5,0,1,0
23834.3,140,4,1,0,3,0,1,0
3359.59,261,2,0,0,5,0,1,0
964.96,89,3,1,0,4,0,1,0
421.77,104,1,3,0,4,0,0,0
219.98,137,5,1,0,2,0,1,0
1344.08,90,6,1,0,4,0,1,0
514.73,442,8,1,1,1,0,1,0
264.47,342,5,1,1,4,0,1,0
574.46,109,3,2,0,4,0,1,0
371.84,1,7,0,1,0,0,1,0
5926.22,416,7,1,0,2,0,0,0
2648.21,23,4,1,0,0,0,1,0
1087.92,50,4,2,0,2,0,1,0
4817.18,29,5,0,0,1,0,1,0
1184.85,35,4,1,0,0,1,1,0
463.46,292,4,1,0,1,0,1,0
5029.74,155,5,1,0,2,0,1,0
1879.78,562,4,1,0,2,0,1,0
388.68,47,1,0,0,1,0,1,0
906.56,119,5,0,0,0,0,1,0
456.86,682,3,2,0,0,0,0,0
275.12,315,6,1,0,3,0,1,0
2768.82,234,7,3,0,0,0,1,0
7401.34,37,3,4,1,2,0,1,0
270.81,264,4,2,0,2,0,1,0
1925.55,76,5,2,1,2,0,1,0
572.12,136,5,0,1,4,0,1,0
673.76,169,5,2,0,2,1,1,0
606.44,169,5,0,0,3,1,1,0
462.21,233,3,0,1,4,1,1,0
1151.16,195,5,0,0,4,0,1,0
477.73,12,3,0,0,3,0,1,1
1437.21,110,4,0,0,0,1,1,0
1042.9,196,7,1,0,2,0,1,0
863.55,63,5,0,0,5,0,1,0
442.5,67,5,0,0,0,1,1,0
615.99,23,2,1,0,2,0,1,0
2334.12,97,6,2,1,3,0,1,0
1809.7,779,2,2,0,2,1,1,0
412.59,60,1,1,0,4,0,1,0
1211.16,136,4,1,0,2,0,1,0
2324.79,244,5,0,0,2,0,1,0
206.56,2,6,3,0,3,0,1,1
1888.16,415,8,0,0,2,0,1,0
565.31,87,5,1,0,1,0,1,0
1940.3,366,9,0,0,2,0,1,0
511.19,7,2,2,0,3,0,1,0
180.39,28,3,1,0,2,0,1,0
215.39,70,3,2,0,2,0,1,0
1150.65,76,6,1,0,4,0,1,0
1421.86,338,13,0,0,2,0,1,0
443.94,2,4,1,0,1,0,1,0
2076.82,184,6,0,0,2,0,0,0
208.2,25,5,0,0,0,1,1,0
1026.51,311,3,3,0,3,0,1,0
326.68,271,4,0,0,3,0,1,0
571.44,124,9,1,0,1,0,0,0
1149.86,43,4,1,1,1,0,1,0
463.86,181,2,1,1,4,0,1,0
746.54,30,6,1,0,2,0,1,0
2999.78,37,5,0,0,6,0,1,0
615.91,177,5,4,0,3,0,1,0
2529.29,852,9,1,1,2,0,1,0
354.35,399,6,3,0,1,0,1,0
1862.74,161,3,1,0,2,0,1,0
4635.82,139,5,0,0,3,0,1,0
92.61,1157,6,2,0,2,0,1,0
494.28,142,4,0,0,1,0,1,0
1952.9,98,3,2,1,3,0,1,0
895.12,432,0,0,0,2,0,1,0
1589.45,48,5,0,0,2,0,1,0
599.45,18,3,0,0,3,0,1,0
1195.82,180,7,1,0,4,0,1,0
938.54,18,4,2,0,0,0,1,0
3525.52,84,2,1,0,5,0,1,0
1414.34,99,7,2,0,3,1,1,0
1537.02,142,2,0,0,1,0,1,0
726.42,861,3,0,0,1,0,1,0
673.44,44,4,0,0,1,0,1,0
711.55,84,6,2,0,0,0,1,0
1626.93,25,11,0,0,0,1,1,0
719.83,168,5,0,0,3,0,1,0
1465.24,234,6,0,0,0,0,1,0
8737.69,118,9,2,0,1,0,1,0
2620.51,50,4,0,0,3,0,1,0
791.54,174,0,2,0,1,0,1,0
3645.37,139,6,0,0,2,0,1,0
729.18,33,6,0,0,2,1,1,0
142.86,93,3,0,0,3,0,1,0
400.18,102,8,1,0,0,0,1,0
168.88,729,4,1,0,4,0,1,0
771.62,340,7,2,0,1,0,1,0
1117.02,238,7,0,0,0,0,1,0
5863.12,395,6,1,0,6,0,1,0
1520.7,239,6,0,0,0,0,1,0
880.86,420,6,0,0,0,0,1,0
2513.43,10,1,0,0,3,0,1,0
120.16,109,6,0,0,3,0,1,0
1387.99,247,5,1,0,1,0,1,0
2370.52,157,8,1,0,3,0,1,0
249.99,34,1,0,0,1,0,1,0
3441.81,74,2,0,0,3,0,1,1
1538.4,68,8,0,1,1,0,1,0
723.94,54,6,3,0,1,0,1,0
2064.79,75,7,2,0,1,0,1,0
10622.11,130,6,1,0,5,0,1,0
1315.36,347,3,2,0,3,0,1,0
1405.6,243,2,3,0,1,0,1,0
692.73,324,3,2,0,2,0,1,0
468.79,387,9,1,0,1,0,1,0
2515.77,96,4,1,0,4,1,0,0
465.87,76,2,3,0,3,0,1,0
1177.99,10,8,4,0,1,0,1,0
680.17,479,6,2,1,3,0,1,0
1770.43,12,4,0,0,2,0,0,0
1530.98,243,9,0,0,2,0,1,0
3094.99,85,6,1,1,0,0,1,0
658.51,534,4,1,0,1,0,1,0
837.25,97,4,2,0,3,0,1,0
412.09,305,5,1,0,3,1,1,0
703.25,59,3,1,0,0,0,1,0
1599.27,63,6,1,0,2,0,1,0
2337.85,162,4,0,0,3,0,1,0
436.08,1117,5,2,1,1,0,1,0
2616.53,131,4,0,0,2,0,1,0
4254.1,495,4,1,0,2,0,1,0
1658.11,277,2,0,0,1,0,1,0
7163.8,286,5,1,0,3,1,1,0
505.84,103,2,0,0,1,0,1,0
315.87,87,5,1,0,4,0,1,0
185.17,38,7,2,1,1,0,1,0
4895.37,598,6,0,0,3,0,1,0
2109.84,576,4,0,0,2,0,1,0
1037.34,247,0,1,0,2,0,1,0
1450.94,63,3,0,0,1,0,1,0
355.85,50,5,1,0,0,0,1,0
12654.3,805,9,1,0,2,0,1,0
1247.9,12,3,2,0,0,1,1,0
1223.41,333,7,0,0,3,0,1,0
2265.99,79,4,3,0,5,0,1,0
1774.03,97,6,1,0,0,0,1,0
1371.81,321,5,1,0,4,0,1,0
497.47,17,6,1,0,1,0,1,0
1757.18,78,2,3,0,3,0,1,1
7201.36,546,5,0,0,2,0,0,0
4210.85,216,8,0,0,2,0,1,0
5394.78,253,6,0,0,3,0,1,0
657.72,255,9,1,0,2,0,1,0
407.64,11,7,1,0,1,0,0,0
967.01,40,3,1,0,0,0,1,0
1159.48,121,2,0,0,2,1,1,0
3275.39,82,8,1,0,1,0,1,0
201.85,95,3,0,0,1,0,1,0
5062.17,273,7,1,1,3,1,1,1
936.35,2,6,1,0,1,0,1,0
715.6,194,2,0,1,1,0,1,0
398.57,1,4,0,1,2,0,0,0
209.59,11,5,1,0,3,0,1,0
2497.81,94,5,2,1,2,0,1,0
1180.06,330,4,1,0,1,0,1,0
301.88,28,5,1,0,4,0,1,0
300.34,145,5,1,0,4,0,1,0
783.85,204,10,1,0,1,0,1,0
5819.8,46,3,2,1,1,0,1,0
845.91,129,3,1,0,1,0,1,0
243.92,436,2,0,1,1,1,1,0
857.7,129,3,3,0,3,0,1,0
834.87,30,0,2,0,0,0,1,0
73.93,177,6,0,0,1,0,1,0
1038.68,161,4,1,0,4,0,1,0
870.5,4,9,1,0,1,0,1,0
2199.99,17,6,3,0,4,0,1,0
6967.11,30,6,0,0,3,0,1,0
3383.16,26,5,0,0,6,1,1,0
838.08,54,5,1,1,3,0,1,0
362.66,108,4,0,0,3,0,1,0
14376.64,83,4,1,0,0,0,1,0
1163.54,398,7,2,1,2,0,1,0
1112.02,170,7,0,0,0,0,1,0
1070.49,375,1,2,0,3,1,1,0
1336.87,134,2,0,0,0,0,1,0
949.22,16,10,1,0,2,0,1,0
617.91,112,7,0,0,3,0,1,0
634.69,310,5,2,0,5,0,1,0
1061.3,38,5,2,0,0,1,0,0
636.88,17,8,2,0,0,0,1,0
537.62,71,7,0,0,2,0,1,0
1219.79,88,4,0,0,3,0,1,0
849.82,65,7,1,0,1,0,1,0
4934.43,26,5,3,0,3,0,0,1
77.4,51,4,0,0,3,0,1,0
3266.61,206,5,0,1,2,0,1,0
3812.67,87,4,2,0,1,0,1,0
137.91,180,5,1,0,0,0,1,0
778.46,138,6,4,0,1,0,1,0
756.39,143,4,5,0,2,0,1,0
268.4,51,6,0,0,2,0,1,0
503.8,132,9,1,1,0,1,1,0
